v8-version,7,1,302,31,0
code-creation,Builtin,3,2296,0x561e6a1c0300,1364,RecordWrite
code-creation,Builtin,3,2321,0x561e6a1c0860,44,AdaptorWithExitFrame
code-creation,Builtin,3,2330,0x561e6a1c08a0,44,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,2338,0x561e6a1c08e0,243,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,2345,0x561e6a1c09e0,172,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,2353,0x561e6a1c0aa0,229,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,2361,0x561e6a1c0ba0,254,CallFunction_ReceiverIsAny
code-creation,Builtin,3,2369,0x561e6a1c0ca0,130,CallBoundFunction
code-creation,Builtin,3,2377,0x561e6a1c0d40,105,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,2384,0x561e6a1c0dc0,105,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,2392,0x561e6a1c0e40,105,Call_ReceiverIsAny
code-creation,Builtin,3,2398,0x561e6a1c0ec0,960,CallProxy
code-creation,Builtin,3,2404,0x561e6a1c12a0,78,CallVarargs
code-creation,Builtin,3,2411,0x561e6a1c1300,1336,CallWithSpread
code-creation,Builtin,3,2417,0x561e6a1c1840,948,CallWithArrayLike
code-creation,Builtin,3,2424,0x561e6a1c1c00,103,CallForwardVarargs
code-creation,Builtin,3,2431,0x561e6a1c1c80,103,CallFunctionForwardVarargs
code-creation,Builtin,3,2438,0x561e6a1c1d00,26,ConstructFunction
code-creation,Builtin,3,2444,0x561e6a1c1d20,130,ConstructBoundFunction
code-creation,Builtin,3,2451,0x561e6a1c1dc0,28,ConstructedNonConstructable
code-creation,Builtin,3,2459,0x561e6a1c1de0,86,Construct
code-creation,Builtin,3,2465,0x561e6a1c1e40,78,ConstructVarargs
code-creation,Builtin,3,2471,0x561e6a1c1ea0,1360,ConstructWithSpread
code-creation,Builtin,3,2478,0x561e6a1c2400,1028,ConstructWithArrayLike
code-creation,Builtin,3,2485,0x561e6a1c2820,142,ConstructForwardVarargs
code-creation,Builtin,3,2493,0x561e6a1c28c0,142,ConstructFunctionForwardVarargs
code-creation,Builtin,3,2500,0x561e6a1c2960,288,JSConstructStubGeneric
code-creation,Builtin,3,2508,0x561e6a1c2aa0,164,JSBuiltinsConstructStub
code-creation,Builtin,3,2527,0x561e6a1c2b60,685,FastNewObject
code-creation,Builtin,3,2533,0x561e6a1c2e20,327,FastNewClosure
code-creation,Builtin,3,2540,0x561e6a1c2f80,227,FastNewFunctionContextEval
code-creation,Builtin,3,2547,0x561e6a1c3080,227,FastNewFunctionContextFunction
code-creation,Builtin,3,2554,0x561e6a1c3180,238,CreateRegExpLiteral
code-creation,Builtin,3,2561,0x561e6a1c3280,686,CreateEmptyArrayLiteral
code-creation,Builtin,3,2568,0x561e6a1c3540,1396,CreateShallowArrayLiteral
code-creation,Builtin,3,2587,0x561e6a1c3ac0,1320,CreateShallowObjectLiteral
code-creation,Builtin,3,2606,0x561e6a1c4000,968,ConstructProxy
code-creation,Builtin,3,2613,0x561e6a1c43e0,104,JSEntryTrampoline
code-creation,Builtin,3,2618,0x561e6a1c4460,104,JSConstructEntryTrampoline
code-creation,Builtin,3,2623,0x561e6a1c44e0,278,ResumeGeneratorTrampoline
code-creation,Builtin,3,2627,0x561e6a1c4600,14,InterruptCheck
code-creation,Builtin,3,2631,0x561e6a1c4620,14,StackCheck
code-creation,Builtin,3,2635,0x561e6a1c4640,679,StringCharAt
code-creation,Builtin,3,2639,0x561e6a1c4900,834,StringCodePointAtUTF16
code-creation,Builtin,3,2644,0x561e6a1c4c60,838,StringCodePointAtUTF32
code-creation,Builtin,3,2648,0x561e6a1c4fc0,588,StringEqual
code-creation,Builtin,3,2652,0x561e6a1c5220,268,StringGreaterThan
code-creation,Builtin,3,2656,0x561e6a1c5340,268,StringGreaterThanOrEqual
code-creation,Builtin,3,2661,0x561e6a1c5460,1036,StringIndexOf
code-creation,Builtin,3,2665,0x561e6a1c5880,268,StringLessThan
code-creation,Builtin,3,2669,0x561e6a1c59a0,268,StringLessThanOrEqual
code-creation,Builtin,3,2673,0x561e6a1c5ac0,194,StringRepeat
code-creation,Builtin,3,2677,0x561e6a1c5ba0,3374,StringSubstring
code-creation,Builtin,3,2681,0x561e6a1c68e0,72,OrderedHashTableHealIndex
code-creation,Builtin,3,2687,0x3f45e9707f40,665,InterpreterEntryTrampoline
code-creation,Builtin,3,2691,0x561e6a1c6940,82,InterpreterPushArgsThenCall
code-creation,Builtin,3,2696,0x561e6a1c69a0,88,InterpreterPushUndefinedAndArgsThenCall
code-creation,Builtin,3,2701,0x561e6a1c6a00,85,InterpreterPushArgsThenCallWithFinalSpread
code-creation,Builtin,3,2723,0x561e6a1c6a60,81,InterpreterPushArgsThenConstruct
code-creation,Builtin,3,2732,0x561e6a1c6ac0,81,InterpreterPushArgsThenConstructArrayFunction
code-creation,Builtin,3,2742,0x561e6a1c6b20,84,InterpreterPushArgsThenConstructWithFinalSpread
code-creation,Builtin,3,2752,0x561e6a1c6b80,191,InterpreterEnterBytecodeAdvance
code-creation,Builtin,3,2758,0x561e6a1c6c40,76,InterpreterEnterBytecodeDispatch
code-creation,Builtin,3,2763,0x561e6a1c6ca0,63,InterpreterOnStackReplacement
code-creation,Builtin,3,2767,0x561e6a1c6ce0,855,CompileLazy
code-creation,Builtin,3,2771,0x561e6a1c7040,92,CompileLazyDeoptimizedCode
code-creation,Builtin,3,2776,0x561e6a1c70a0,227,DeserializeLazy
code-creation,BytecodeHandler,1,2780,0x561e6a1c71a0,187,DeserializeLazyHandler
code-creation,BytecodeHandler,1,2785,0x561e6a1c7260,191,DeserializeLazyWideHandler
code-creation,BytecodeHandler,1,2790,0x561e6a1c7320,191,DeserializeLazyExtraWideHandler
code-creation,Builtin,3,2795,0x561e6a1c73e0,148,InstantiateAsmJs
code-creation,Builtin,3,2799,0x561e6a1c7480,32,NotifyDeoptimized
code-creation,Builtin,3,2803,0x561e6a1c74c0,37,ContinueToCodeStubBuiltin
code-creation,Builtin,3,2807,0x561e6a1c7500,45,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,2812,0x561e6a1c7540,41,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,2817,0x561e6a1c7580,49,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,2822,0x561e6a1c75c0,12,HandleApiCall
code-creation,Builtin,3,2825,0x561e6a1c75e0,12,HandleApiCallAsFunction
