2020-02-04 16:53:02 startup archives unpack
2020-02-04 16:53:05 install p7zip:amd64 <none> 16.02+dfsg-6
2020-02-04 16:53:05 status half-installed p7zip:amd64 16.02+dfsg-6
2020-02-04 16:53:05 status triggers-pending man-db:amd64 2.8.3-2ubuntu0.1
2020-02-04 16:53:06 status unpacked p7zip:amd64 16.02+dfsg-6
2020-02-04 16:53:06 status unpacked p7zip:amd64 16.02+dfsg-6
2020-02-04 16:53:06 install p7zip-full:amd64 <none> 16.02+dfsg-6
2020-02-04 16:53:06 status half-installed p7zip-full:amd64 16.02+dfsg-6
2020-02-04 16:53:07 status unpacked p7zip-full:amd64 16.02+dfsg-6
2020-02-04 16:53:07 status unpacked p7zip-full:amd64 16.02+dfsg-6
2020-02-04 16:53:08 startup packages configure
2020-02-04 16:53:08 configure p7zip:amd64 16.02+dfsg-6 <none>
2020-02-04 16:53:08 status unpacked p7zip:amd64 16.02+dfsg-6
2020-02-04 16:53:08 status half-configured p7zip:amd64 16.02+dfsg-6
2020-02-04 16:53:08 status installed p7zip:amd64 16.02+dfsg-6
2020-02-04 16:53:08 configure p7zip-full:amd64 16.02+dfsg-6 <none>
2020-02-04 16:53:08 status unpacked p7zip-full:amd64 16.02+dfsg-6
2020-02-04 16:53:08 status half-configured p7zip-full:amd64 16.02+dfsg-6
2020-02-04 16:53:08 status installed p7zip-full:amd64 16.02+dfsg-6
2020-02-04 16:53:08 trigproc man-db:amd64 2.8.3-2ubuntu0.1 <none>
2020-02-04 16:53:08 status half-configured man-db:amd64 2.8.3-2ubuntu0.1
2020-02-04 16:53:11 status installed man-db:amd64 2.8.3-2ubuntu0.1
2020-02-04 16:56:32 startup archives unpack
2020-02-04 16:56:32 install libsigc++-2.0-0v5:amd64 <none> 2.10.0-2
2020-02-04 16:56:32 status triggers-pending libc-bin:amd64 2.27-3ubuntu1
2020-02-04 16:56:32 status half-installed libsigc++-2.0-0v5:amd64 2.10.0-2
2020-02-04 16:56:32 status unpacked libsigc++-2.0-0v5:amd64 2.10.0-2
2020-02-04 16:56:33 status unpacked libsigc++-2.0-0v5:amd64 2.10.0-2
2020-02-04 16:56:33 install libglibmm-2.4-1v5:amd64 <none> 2.56.0-1
2020-02-04 16:56:33 status half-installed libglibmm-2.4-1v5:amd64 2.56.0-1
2020-02-04 16:56:33 status unpacked libglibmm-2.4-1v5:amd64 2.56.0-1
2020-02-04 16:56:33 status unpacked libglibmm-2.4-1v5:amd64 2.56.0-1
2020-02-04 16:56:34 install libatkmm-1.6-1v5:amd64 <none> 2.24.2-3
2020-02-04 16:56:34 status half-installed libatkmm-1.6-1v5:amd64 2.24.2-3
2020-02-04 16:56:34 status unpacked libatkmm-1.6-1v5:amd64 2.24.2-3
2020-02-04 16:56:34 status unpacked libatkmm-1.6-1v5:amd64 2.24.2-3
2020-02-04 16:56:35 install libcairomm-1.0-1v5:amd64 <none> 1.12.2-3
2020-02-04 16:56:35 status half-installed libcairomm-1.0-1v5:amd64 1.12.2-3
2020-02-04 16:56:35 status unpacked libcairomm-1.0-1v5:amd64 1.12.2-3
2020-02-04 16:56:36 status unpacked libcairomm-1.0-1v5:amd64 1.12.2-3
2020-02-04 16:56:36 install libpangomm-1.4-1v5:amd64 <none> 2.40.1-4
2020-02-04 16:56:36 status half-installed libpangomm-1.4-1v5:amd64 2.40.1-4
2020-02-04 16:56:37 status unpacked libpangomm-1.4-1v5:amd64 2.40.1-4
2020-02-04 16:56:37 status unpacked libpangomm-1.4-1v5:amd64 2.40.1-4
2020-02-04 16:56:38 install libgtkmm-3.0-1v5:amd64 <none> 3.22.2-2
2020-02-04 16:56:38 status half-installed libgtkmm-3.0-1v5:amd64 3.22.2-2
2020-02-04 16:56:38 status unpacked libgtkmm-3.0-1v5:amd64 3.22.2-2
2020-02-04 16:56:38 status unpacked libgtkmm-3.0-1v5:amd64 3.22.2-2
2020-02-04 16:56:39 install pavucontrol:amd64 <none> 3.0-4
2020-02-04 16:56:39 status half-installed pavucontrol:amd64 3.0-4
2020-02-04 16:56:39 status triggers-pending gnome-menus:amd64 3.13.3-11ubuntu1.1
2020-02-04 16:56:39 status triggers-pending desktop-file-utils:amd64 0.23-1ubuntu3.18.04.2
2020-02-04 16:56:40 status triggers-pending mime-support:all 3.60ubuntu1
2020-02-04 16:56:40 status triggers-pending man-db:amd64 2.8.3-2ubuntu0.1
2020-02-04 16:56:41 status unpacked pavucontrol:amd64 3.0-4
2020-02-04 16:56:41 status unpacked pavucontrol:amd64 3.0-4
2020-02-04 16:56:41 startup packages configure
2020-02-04 16:56:41 configure libsigc++-2.0-0v5:amd64 2.10.0-2 <none>
2020-02-04 16:56:41 status unpacked libsigc++-2.0-0v5:amd64 2.10.0-2
2020-02-04 16:56:42 status half-configured libsigc++-2.0-0v5:amd64 2.10.0-2
2020-02-04 16:56:42 status installed libsigc++-2.0-0v5:amd64 2.10.0-2
2020-02-04 16:56:42 configure libcairomm-1.0-1v5:amd64 1.12.2-3 <none>
2020-02-04 16:56:42 status unpacked libcairomm-1.0-1v5:amd64 1.12.2-3
2020-02-04 16:56:42 status half-configured libcairomm-1.0-1v5:amd64 1.12.2-3
2020-02-04 16:56:42 status installed libcairomm-1.0-1v5:amd64 1.12.2-3
2020-02-04 16:56:43 configure libglibmm-2.4-1v5:amd64 2.56.0-1 <none>
2020-02-04 16:56:43 status unpacked libglibmm-2.4-1v5:amd64 2.56.0-1
2020-02-04 16:56:43 status half-configured libglibmm-2.4-1v5:amd64 2.56.0-1
2020-02-04 16:56:43 status installed libglibmm-2.4-1v5:amd64 2.56.0-1
2020-02-04 16:56:43 configure libatkmm-1.6-1v5:amd64 2.24.2-3 <none>
2020-02-04 16:56:43 status unpacked libatkmm-1.6-1v5:amd64 2.24.2-3
2020-02-04 16:56:43 status half-configured libatkmm-1.6-1v5:amd64 2.24.2-3
2020-02-04 16:56:43 status installed libatkmm-1.6-1v5:amd64 2.24.2-3
2020-02-04 16:56:43 configure libpangomm-1.4-1v5:amd64 2.40.1-4 <none>
2020-02-04 16:56:43 status unpacked libpangomm-1.4-1v5:amd64 2.40.1-4
2020-02-04 16:56:44 status half-configured libpangomm-1.4-1v5:amd64 2.40.1-4
2020-02-04 16:56:44 status installed libpangomm-1.4-1v5:amd64 2.40.1-4
2020-02-04 16:56:44 configure libgtkmm-3.0-1v5:amd64 3.22.2-2 <none>
2020-02-04 16:56:44 status unpacked libgtkmm-3.0-1v5:amd64 3.22.2-2
2020-02-04 16:56:44 status half-configured libgtkmm-3.0-1v5:amd64 3.22.2-2
2020-02-04 16:56:45 status installed libgtkmm-3.0-1v5:amd64 3.22.2-2
2020-02-04 16:56:45 configure pavucontrol:amd64 3.0-4 <none>
2020-02-04 16:56:45 status unpacked pavucontrol:amd64 3.0-4
2020-02-04 16:56:45 status half-configured pavucontrol:amd64 3.0-4
2020-02-04 16:56:45 status installed pavucontrol:amd64 3.0-4
2020-02-04 16:56:45 trigproc desktop-file-utils:amd64 0.23-1ubuntu3.18.04.2 <none>
